Time,Accel_x,Accel_y,Accel_z,Orientation_x,Orientation_y,Orientation_z,Orientation_w,Gyro_x,Gyro_y,Gyro_z
1731740782.838584,-0.2555772666268998,0.04815064246278644,9.767301898074901,0.0024646478812497406,0.01307975309195779,-3.2239841603990356e-05,0.9999114183418787,-5e-324,5e-324,6.67457733247849e-158
1731740782.846539,-0.24815674571832735,0.052832402079234356,9.774900853200409,0.002702196143900678,0.012690270186633743,-3.429448595460324e-05,0.999915823458394,-5e-324,5e-324,4.004746399487094e-158
1731740782.8545704,-0.23532472736263702,0.05396551668699374,9.769404579303057,0.0027617256451629517,0.012041115510226285,-3.325679536893099e-05,0.9999236887396536,-5e-324,5e-324,2.4028478396922564e-158
1731740782.862514,-0.24558202880039467,0.04482915864500874,9.769458697288865,0.0022941457201586736,0.012565723243410046,-2.8829952262282314e-05,0.999918416003835,-5e-324,5e-324,1.4417087038153538e-158
1731740782.8706713,-0.2517364096630493,0.051078931954583365,9.768533487416287,0.0026142102409502078,0.012881639099588732,-3.367822230451803e-05,0.9999136103407641,-5e-324,5e-324,8.650252222892122e-159
1731740782.8786023,-0.2489646936982202,0.03759054398720314,9.769175462322819,0.001923763322781011,0.012739139651279291,-2.4509123809076657e-05,0.9999170029832106,-5e-324,5e-324,5.190151333735273e-159
1731740782.8866322,-0.2441892019611196,0.02518794821849376,9.766687605274551,0.0012893746782385114,0.012498145651562268,-1.6116064670757786e-05,0.9999210636887713,-5e-324,5e-324,3.1140908002411636e-159
1731740782.8946655,-0.24994303289542175,0.02540783606976813,9.771898655694027,0.0012999322143199506,0.012785677225786768,-1.662188643003172e-05,0.9999174147687543,-5e-324,5e-324,1.868454480144698e-159
1731740782.9030085,-0.24118490298920617,0.03631367625123588,9.755153412166417,0.0018610985180893198,0.012358983056648667,-2.3003081762495906e-05,0.9999218926101027,-5e-324,5e-324,1.1210726880868187e-159
1731740782.9109309,-0.24790103334625807,0.04477254168824153,9.755880173520552,0.0022944332449752296,0.012701968846839308,-2.9146247659427578e-05,0.9999166938870431,-5e-324,5e-324,6.726436128520912e-160
1731740782.9191194,-0.24019912342572358,0.048890180286382416,9.761822894151393,0.002503931619174429,0.012300000113290797,-3.080078579063574e-05,0.9999212165840723,-5e-324,5e-324,4.035861677112547e-160
1731740782.9269378,-0.2453942042800435,0.05303670460737632,9.76802214835607,0.0027145602260668926,0.012557896967124019,-3.4091981541048766e-05,0.9999174612058133,-5e-324,5e-324,2.4215170062675283e-160
1731740782.935233,-0.23821618565396357,0.06103128301833204,9.785867490673798,0.0031180523066920525,0.012168440007511354,-3.794482629713841e-05,0.9999210995762547,-5e-324,5e-324,1.452910203760517e-160
1731740782.9429936,-0.2370218366365188,0.05625122342428048,9.770477897968732,0.002878376228400793,0.012126563517711856,-3.490752353092791e-05,0.9999223270779602,-5e-324,5e-324,8.7174612225631e-161
1731740782.9509513,-0.24947333635691124,0.056735069992068295,9.771299789318348,0.0029028659726752165,0.012762228807296045,-3.705021327296123e-05,0.9999143450877662,-5e-324,5e-324,5.23047673353786e-161
1731740782.9589708,-0.23491758091570922,0.0610955207550066,9.764370898981634,0.003128211190065735,0.0120264207092256,-3.762408894314432e-05,0.9999227860610553,-5e-324,5e-324,3.138286040122716e-161
1731740782.9670107,-0.2271418083150505,0.030671808302613332,9.764523127767886,0.0015704575431846417,0.01162854191712072,-1.8263388753136376e-05,0.9999311528012494,-5e-324,5e-324,1.8829716240736294e-161
1731740782.9749706,-0.23301083205934278,0.03612017726672425,9.774430691846279,0.0018475411012060779,0.011916765971713329,-2.2018315971433047e-05,0.9999272857542435,-5e-324,5e-324,1.1297829744441776e-161
1731740782.9830008,-0.23150442281959005,0.04657180362565955,9.766728280830423,0.0023840125854194703,0.011849022991917058,-2.825028346542122e-05,0.9999269555022762,-5e-324,5e-324,6.778697846665065e-162
1731740782.9909904,-0.24496578723667592,0.041350611472270725,9.763782775383019,0.0021173633231680337,0.012541514266948332,-2.655709052962191e-05,0.999919109971987,-5e-324,5e-324,4.067218707999039e-162
1731740782.9989862,-0.24370521941231804,0.051386005311096807,9.768479816596999,0.002629954564871515,0.012470934734274278,-3.280065594207556e-05,0.9999187757262873,-5e-324,5e-324,2.440331224799423e-162
1731740783.0069747,-0.2563564080145783,0.04830927530579871,9.788296873112497,0.002467463392772082,0.013091480590725874,-3.2305615982335414e-05,0.9999112579207693,-5e-324,5e-324,1.4641987348796538e-162
1731740783.015266,-0.26203175984780946,0.04837859863074485,9.786061317226872,0.0024715586233290242,0.01338420714010128,-3.308291696601507e-05,0.9999073723614218,-5e-324,5e-324,8.785192409277923e-163
1731740783.023,-0.24987466015673254,0.04387120947141566,9.77801621904706,0.0022431521153808386,0.012774081486916916,-2.8656618171509063e-05,0.9999158916076647,-5e-324,5e-324,5.2711154455667536e-163
1731740783.0310085,-0.24784764399443018,0.06008096909105252,9.763851773664564,0.003076402993877297,0.012688738249072245,-3.9038999966178364e-05,0.9999147614383049,-5e-324,5e-324,3.162669267340052e-163
1731740783.0392172,-0.25237751828142374,0.05783581656205338,9.761578030751473,0.0029621251693054134,0.012923563659078038,-3.8284578442021334e-05,0.9999120990622736,-5e-324,5e-324,1.897601560404031e-163
1731740783.047009,-0.24743399754111983,0.05170032172434141,9.746566835540728,0.002651982358444445,0.012690102957732258,-3.365675768330221e-05,0.9999159600405002,-5e-324,5e-324,1.1385609362424185e-163
