CoM Computation Time,ZMP Calculation Time,Support Polygon Calculation Time
0.002797,0.000951,0.00014
0.001888,0.000732,8.4e-05
0.002486,0.000908,0.000155
0.002769,0.000985,0.00014
0.003126,0.000959,0.00013
0.002437,0.001092,0.000138
0.002451,0.000882,0.000153
0.002517,0.001901,0.00015
0.002447,0.000907,0.000124
0.002618,0.000965,0.000142
0.002431,0.000881,0.00014
0.002405,0.001526,0.000144
0.003281,0.000926,0.000122
0.003133,0.00086,0.000133
0.002411,0.000842,0.00018
0.002455,0.000996,0.000148
0.002685,0.001001,0.000127
0.00273,0.000944,0.000126
0.002537,0.000941,0.000168
0.004694,0.000926,0.000136
0.0025,0.001009,0.000194
0.003472,0.000998,0.000128
0.002817,0.000961,0.000166
0.002678,0.001025,0.000177
0.002511,0.00088,0.000219
0.004863,0.001002,0.000145
0.00298,0.001582,0.000442
0.002403,0.001006,0.000128
0.002453,0.000892,0.00012
0.002516,0.000975,0.000125
0.002584,0.000915,0.000168
0.002439,0.000969,0.000144
0.003066,0.000974,0.000121
0.003047,0.001039,0.000129
0.00265,0.000979,0.000129
0.0027,0.000941,0.000133
0.002476,0.00099,0.000143
0.00271,0.000949,0.000135
0.002486,0.000877,0.000134
0.003266,0.000872,0.000172
0.003936,0.000923,0.000168
0.004315,0.000879,0.00014
0.002491,0.0009,0.000127
0.002565,0.000934,0.000141
0.002554,0.000962,0.000121
0.002494,0.000989,0.000138
0.002562,0.000852,0.000164
0.002516,0.001042,0.000166
0.002884,0.00102,0.000132
0.002587,0.000917,0.000134
0.002685,0.00099,0.000132
0.002471,0.000827,0.000127
0.002418,0.000811,0.000162
0.002979,0.000944,0.000144
0.002782,0.001035,0.000143
0.00338,0.001254,0.000178
0.002473,0.000955,0.000173
0.002484,0.001058,0.000151
0.002733,0.000976,0.000172
0.002639,0.001024,0.00014
0.002708,0.001589,0.000132
0.00383,0.001291,0.000207
0.002467,0.001058,0.000131
0.002712,0.001181,0.000137
0.0027,0.001011,0.000129
0.002917,0.001096,0.000149
0.003423,0.001363,0.000147
0.003033,0.001046,0.000195
0.002979,0.001129,0.000195
0.003054,0.001142,0.000172
0.002729,0.001108,0.000184
0.003843,0.000979,0.000137
0.002669,0.001188,0.000141
0.00271,0.001197,0.000139
0.002731,0.00246,0.000238
0.002451,0.000925,0.000128
0.003025,0.001076,0.000147
0.002698,0.001008,0.000158
0.002689,0.001007,0.00015
0.002412,0.000946,0.000131
0.002476,0.000878,0.00017
0.004265,0.001081,0.000138
0.003453,0.001413,0.000144
0.003029,0.000945,0.000182
0.004262,0.002126,0.00019
0.002572,0.001026,0.000129
0.002435,0.001102,0.000157
0.002706,0.001222,0.000141
0.00366,0.001239,0.000263
0.003215,0.000957,0.000144
0.002496,0.000907,0.000177
0.002636,0.00109,0.000139
0.002674,0.001119,0.000134
0.002758,0.001036,0.000146
0.003768,0.002697,0.000231
0.002675,0.001193,0.000129
0.002695,0.001008,0.000151
0.003028,0.001084,0.000154
0.002458,0.000895,0.00013
0.002692,0.001494,0.000136
0.002916,0.001523,0.00014
0.00266,0.000914,0.000166
0.002729,0.00102,0.000182
0.00276,0.000977,0.000129
0.002786,0.001162,0.000132
0.003651,0.001152,0.000173
0.003346,0.001208,0.000131
0.002401,0.001264,0.000157
0.002716,0.00101,0.000126
0.002713,0.001089,0.000158
0.002676,0.000929,0.000122
0.002507,0.000928,0.000137
0.003397,0.001109,0.000143
0.002619,0.001143,0.000176
0.002589,0.001064,0.00015
0.002892,0.001358,0.000143
0.002915,0.000988,0.000158
0.002567,0.001167,0.000145
0.002995,0.0011,0.000146
0.002672,0.001004,0.000139
0.002974,0.000991,0.000127
0.004316,0.000949,0.000146
0.003842,0.002881,0.000227
0.002862,0.001154,0.000149
