CoM Computation Time,ZMP Calculation Time,Support Polygon Calculation Time
0.000224,0.00046,7.4e-05
0.000448,0.001104,0.000159
0.000427,0.000956,0.001579
0.000409,0.000927,0.000137
0.000416,0.001485,0.000163
0.00046,0.001101,0.000138
0.000414,0.000877,0.000144
0.000408,0.000946,0.000141
0.000421,0.001106,0.00016
0.000416,0.001125,0.000138
0.000413,0.000868,0.000144
0.000409,0.000932,0.000135
0.000414,0.000951,0.000139
0.000407,0.001017,0.000145
0.000407,0.000881,0.00014
0.000413,0.001026,0.000159
0.000438,0.001011,0.000125
0.000414,0.000917,0.000167
0.000435,0.001385,0.000149
0.000411,0.000977,0.000136
0.000414,0.000936,0.00014
0.000516,0.001037,0.000138
0.000408,0.000869,0.000144
0.000414,0.001026,0.000137
0.000413,0.000911,0.000134
0.000409,0.00117,0.000145
0.000411,0.000868,0.00013
0.00066,0.000949,0.000169
0.000413,0.000912,0.000156
0.000667,0.001003,0.000157
0.000431,0.001007,0.000136
0.000664,0.000932,0.000196
0.000411,0.001182,0.000138
0.000425,0.001038,0.000147
0.000414,0.00101,0.000138
0.000668,0.00108,0.000143
0.000451,0.001202,0.000151
0.000436,0.000957,0.000137
0.000413,0.000882,0.000133
0.000413,0.000934,0.000137
0.000416,0.000949,0.000138
0.000511,0.000835,0.000145
0.000417,0.000869,0.000145
0.000441,0.000796,0.000135
0.000409,0.000867,0.000129
0.000425,0.000984,0.000137
0.000444,0.001627,0.000232
0.00042,0.000956,0.000137
0.000423,0.000962,0.000186
0.000422,0.000905,0.000159
0.000385,0.0008,0.000149
0.000493,0.000858,0.000143
0.000398,0.000814,0.000127
0.000711,0.001014,0.00018
0.000415,0.001046,0.000143
0.000659,0.001306,0.000141
0.000449,0.001166,0.000158
0.00072,0.001414,0.00024
0.000459,0.001472,0.000156
0.000455,0.001476,0.00016
0.000486,0.001125,0.000141
0.000516,0.001877,0.000178
0.000465,0.001016,0.000161
0.000645,0.001374,0.000158
0.000829,0.000976,0.000146
0.000464,0.001065,0.000184
0.000472,0.001058,0.000147
0.000401,0.001231,0.000186
0.000466,0.001053,0.000148
0.000445,0.001471,0.000207
0.000448,0.001121,0.0002
0.000446,0.001026,0.000199
0.000454,0.001062,0.000143
0.000448,0.001285,0.000174
0.000456,0.001007,0.000146
0.000781,0.001682,0.000215
0.000416,0.001792,0.000151
0.000552,0.000873,0.000173
0.000398,0.000833,0.00012
0.000465,0.001097,0.000184
0.000458,0.001309,0.000275
0.000755,0.000941,0.000147
0.000436,0.001001,0.000188
0.000433,0.001076,0.000186
0.000423,0.001333,0.00014
0.000536,0.001328,0.00015
0.000426,0.000898,0.00013
0.000679,0.000907,0.000152
0.000438,0.000976,0.000146
0.000735,0.001121,0.000149
0.000542,0.000976,0.000155
0.000477,0.000983,0.000158
0.000458,0.001021,0.000202
0.000691,0.001125,0.000187
0.000527,0.001412,0.000151
0.000397,0.000809,0.000139
0.000454,0.003559,0.000184
0.000667,0.000966,0.000137
0.000419,0.000972,0.000134
0.000497,0.001018,0.000209
0.000454,0.001042,0.000144
0.000447,0.00103,0.000149
0.000413,0.000881,0.000146
0.000569,0.001037,0.000152
0.000505,0.003102,0.000151
0.000449,0.000923,0.000148
0.000434,0.001058,0.000138
0.000448,0.000999,0.000154
0.000441,0.001003,0.000129
0.000493,0.001399,0.00014
0.000444,0.000905,0.000142
0.000414,0.000988,0.000136
0.000444,0.00112,0.000152
0.000453,0.001015,0.000143
0.000456,0.001067,0.000146
0.000576,0.001119,0.000144
0.000443,0.001053,0.000143
0.000447,0.001023,0.000143
0.000463,0.001018,0.00017
0.000447,0.001233,0.000152
0.00046,0.001038,0.000189
0.000721,0.001066,0.000144
0.000461,0.000954,0.000151
0.000471,0.001178,0.000169
0.000444,0.001069,0.000141
0.000449,0.001143,0.000155
0.000432,0.000986,0.000133
0.000416,0.000979,0.000145
0.000415,0.001444,0.000187
0.000667,0.000912,0.000149
0.000424,0.001016,0.000132
0.000683,0.000974,0.000165
0.00042,0.001026,0.000147
0.000682,0.000905,0.00015
0.000422,0.000943,0.000128
0.000657,0.00133,0.00015
0.000422,0.001039,0.000197
0.0007,0.000956,0.000184
0.00349,0.001683,0.000154
0.00046,0.001041,0.000173
0.000445,0.001211,0.000149
0.000491,0.001044,0.000144
0.000478,0.001182,0.000177
0.00044,0.001045,0.000171
0.000467,0.001045,0.00019
0.000659,0.000993,0.000162
0.000412,0.000995,0.00017
0.000512,0.00092,0.00015
0.000429,0.000999,0.000131
0.000415,0.000892,0.000135
0.000521,0.001042,0.000156
0.00045,0.001078,0.000146
0.000462,0.001085,0.000155
0.000447,0.000755,0.000157
0.000494,0.001766,0.000211
0.000726,0.000883,0.000181
0.000445,0.001215,0.000155
0.000906,0.000937,0.000146
0.000461,0.001069,0.000191
0.000819,0.001145,0.000151
0.000457,0.00164,0.000147
0.000446,0.001109,0.000148
0.000407,0.001071,0.000129
0.000414,0.00094,0.00014
0.000416,0.00098,0.00013
0.00049,0.001233,0.000169
0.000466,0.001012,0.000142
0.000479,0.001022,0.000148
0.000446,0.001125,0.000142
0.000463,0.001236,0.000171
0.000442,0.00107,0.000154
0.00045,0.001063,0.000149
0.000508,0.001046,0.000141
0.000443,0.001481,0.000153
0.000411,0.000996,0.000131
0.000415,0.000964,0.000136
0.000412,0.001054,0.000161
0.000706,0.000927,0.000139
0.000412,0.000869,0.000179
0.00042,0.001528,0.000146
0.000412,0.000946,0.000129
0.000396,0.000961,0.000151
0.000383,0.000874,0.00012
0.000811,0.001131,0.000159
0.000491,0.000946,0.000168
0.000717,0.001133,0.000157
0.000446,0.001065,0.000183
0.000755,0.001001,0.000165
0.000468,0.001144,0.000201
0.00071,0.001049,0.000144
