seq,secs,nsecs,head_pan_position,head_pan_velocity,head_pan_effort,head_tilt_position,head_tilt_velocity,head_tilt_effort,l_ank_pitch_position,l_ank_pitch_velocity,l_ank_pitch_effort,l_ank_roll_position,l_ank_roll_velocity,l_ank_roll_effort,l_el_position,l_el_velocity,l_el_effort,l_hip_pitch_position,l_hip_pitch_velocity,l_hip_pitch_effort,l_hip_roll_position,l_hip_roll_velocity,l_hip_roll_effort,l_hip_yaw_position,l_hip_yaw_velocity,l_hip_yaw_effort,l_knee_position,l_knee_velocity,l_knee_effort,l_sho_pitch_position,l_sho_pitch_velocity,l_sho_pitch_effort,l_sho_roll_position,l_sho_roll_velocity,l_sho_roll_effort,r_ank_pitch_position,r_ank_pitch_velocity,r_ank_pitch_effort,r_ank_roll_position,r_ank_roll_velocity,r_ank_roll_effort,r_el_position,r_el_velocity,r_el_effort,r_hip_pitch_position,r_hip_pitch_velocity,r_hip_pitch_effort,r_hip_roll_position,r_hip_roll_velocity,r_hip_roll_effort,r_hip_yaw_position,r_hip_yaw_velocity,r_hip_yaw_effort,r_knee_position,r_knee_velocity,r_knee_effort,r_sho_pitch_position,r_sho_pitch_velocity,r_sho_pitch_effort,r_sho_roll_position,r_sho_roll_velocity,r_sho_roll_effort
165611,1729051549,520586450,-0.0015339807861328126,0.0,0.0,-0.17640779040527346,0.0,0.0,1.2385272440400588,0.0,0.0,0.009208380996580362,0.0,0.0,-0.7853981625,0.0,0.0,-1.2317865712646485,0.0,0.0,-0.00613592314453125,0.0,0.0,-0.0015339807861328126,0.0,0.0,2.4693808372496338,0.0,0.0,-0.26077673364257814,0.0,0.0,0.7888513053737177,0.0,0.0,-1.2210487057617188,0.0,0.0,-0.003067961572265625,0.0,0.0,0.7857818450415243,0.0,0.0,1.2231799423790914,0.0,0.0,0.0,0.0,0.0,0.006138920664386908,0.0,0.0,-2.512660527685547,0.0,0.0,0.25936939807034687,0.0,0.0,-0.7900001048583984,0.0,0.0
165612,1729051549,528615286,-0.0015339807861328126,0.0,0.0,-0.17640779040527346,0.0,0.0,1.2385272440400588,0.0,0.0,0.009208380996580362,0.0,0.0,-0.7869321432861328,0.0,0.0,-1.2317865712646485,0.0,0.0,-0.00613592314453125,0.0,0.0,-0.0015339807861328126,0.0,0.0,2.4693808372496338,0.0,0.0,-0.26077673364257814,0.0,0.0,0.7888513053737177,0.0,0.0,-1.2210487057617188,0.0,0.0,-0.003067961572265625,0.0,0.0,0.7857818450415243,0.0,0.0,1.2247146725451883,0.0,0.0,0.0,0.0,0.0,0.004604190498290181,0.0,0.0,-2.512660527685547,0.0,0.0,0.25936939807034687,0.0,0.0,-0.7900001048583984,0.0,0.0
165613,1729051549,536513658,-0.0015339807861328126,0.0,0.0,-0.17640779040527346,0.0,0.0,1.2385272440400588,0.0,0.0,0.009208380996580362,0.0,0.0,-0.7869321432861328,0.0,0.0,-1.2317865712646485,0.0,0.0,-0.00613592314453125,0.0,0.0,-0.003067961572265625,0.0,0.0,2.4693808372496338,0.0,0.0,-0.26077673364257814,0.0,0.0,0.7888513053737177,0.0,0.0,-1.219514724975586,0.0,0.0,-0.003067961572265625,0.0,0.0,0.7857818450415243,0.0,0.0,1.2231799423790914,0.0,0.0,0.0,0.0,0.0,0.004604190498290181,0.0,0.0,-2.5141945084716797,0.0,0.0,0.25936939807034687,0.0,0.0,-0.7900001048583984,0.0,0.0
165614,1729051549,544554173,-0.0015339807861328126,0.0,0.0,-0.17640779040527346,0.0,0.0,1.2385272440400588,0.0,0.0,0.009208380996580362,0.0,0.0,-0.7853981625,0.0,0.0,-1.2317865712646485,0.0,0.0,-0.00613592314453125,0.0,0.0,-0.0015339807861328126,0.0,0.0,2.467846107083537,0.0,0.0,-0.26077673364257814,0.0,0.0,0.7888513053737177,0.0,0.0,-1.2210487057617188,0.0,0.0,-0.003067961572265625,0.0,0.0,0.7857818450415243,0.0,0.0,1.2231799423790914,0.0,0.0,0.0,0.0,0.0,0.004604190498290181,0.0,0.0,-2.512660527685547,0.0,0.0,0.25936939807034687,0.0,0.0,-0.7900001048583984,0.0,0.0
165615,1729051549,552529923,-0.0015339807861328126,0.0,0.0,-0.17640779040527346,0.0,0.0,1.2385272440400588,0.0,0.0,0.009208380996580362,0.0,0.0,-0.7869321432861328,0.0,0.0,-1.2333205520507813,0.0,0.0,-0.00613592314453125,0.0,0.0,-0.0015339807861328126,0.0,0.0,2.4693808372496338,0.0,0.0,-0.26077673364257814,0.0,0.0,0.7888513053737177,0.0,0.0,-1.2210487057617188,0.0,0.0,-0.003067961572265625,0.0,0.0,0.7857818450415243,0.0,0.0,1.2231799423790914,0.0,0.0,0.0,0.0,0.0,0.004604190498290181,0.0,0.0,-2.512660527685547,0.0,0.0,0.25936939807034687,0.0,0.0,-0.7900001048583984,0.0,0.0
165616,1729051549,560520006,-0.0015339807861328126,0.0,0.0,-0.17640779040527346,0.0,0.0,1.2385272440400588,0.0,0.0,0.009208380996580362,0.0,0.0,-0.7853981625,0.0,0.0,-1.2317865712646485,0.0,0.0,-0.00613592314453125,0.0,0.0,-0.0015339807861328126,0.0,0.0,2.4693808372496338,0.0,0.0,-0.26077673364257814,0.0,0.0,0.7888513053737177,0.0,0.0,-1.2210487057617188,0.0,0.0,-0.003067961572265625,0.0,0.0,0.7857818450415243,0.0,0.0,1.2231799423790914,0.0,0.0,0.0,0.0,0.0,0.004604190498290181,0.0,0.0,-2.512660527685547,0.0,0.0,0.25936939807034687,0.0,0.0,-0.7900001048583984,0.0,0.0
165617,1729051549,568583444,-0.0015339807861328126,0.0,0.0,-0.17640779040527346,0.0,0.0,1.2385272440400588,0.0,0.0,0.009208380996580362,0.0,0.0,-0.7869321432861328,0.0,0.0,-1.2317865712646485,0.0,0.0,-0.00613592314453125,0.0,0.0,-0.0015339807861328126,0.0,0.0,2.4693808372496338,0.0,0.0,-0.26077673364257814,0.0,0.0,0.7888513053737177,0.0,0.0,-1.2210487057617188,0.0,0.0,-0.003067961572265625,0.0,0.0,0.7857818450415243,0.0,0.0,1.2231799423790914,0.0,0.0,0.0,0.0,0.0,0.006138920664386908,0.0,0.0,-2.5141945084716797,0.0,0.0,0.25783466790425014,0.0,0.0,-0.7900001048583984,0.0,0.0
165618,1729051549,576577096,-0.0015339807861328126,0.0,0.0,-0.17640779040527346,0.0,0.0,1.2385272440400588,0.0,0.0,0.009208380996580362,0.0,0.0,-0.7869321432861328,0.0,0.0,-1.2317865712646485,0.0,0.0,-0.00613592314453125,0.0,0.0,-0.0015339807861328126,0.0,0.0,2.4693808372496338,0.0,0.0,-0.26077673364257814,0.0,0.0,0.7888513053737177,0.0,0.0,-1.2210487057617188,0.0,0.0,-0.003067961572265625,0.0,0.0,0.7857818450415243,0.0,0.0,1.2231799423790914,0.0,0.0,0.0,0.0,0.0,0.004604190498290181,0.0,0.0,-2.512660527685547,0.0,0.0,0.25936939807034687,0.0,0.0,-0.7900001048583984,0.0,0.0
165619,1729051549,584513657,-0.0015339807861328126,0.0,0.0,-0.17640779040527346,0.0,0.0,1.2385272440400588,0.0,0.0,0.009208380996580362,0.0,0.0,-0.7853981625,0.0,0.0,-1.2317865712646485,0.0,0.0,-0.00613592314453125,0.0,0.0,-0.0015339807861328126,0.0,0.0,2.4693808372496338,0.0,0.0,-0.26077673364257814,0.0,0.0,0.7888513053737177,0.0,0.0,-1.2210487057617188,0.0,0.0,-0.003067961572265625,0.0,0.0,0.7857818450415243,0.0,0.0,1.2231799423790914,0.0,0.0,0.0,0.0,0.0,0.004604190498290181,0.0,0.0,-2.512660527685547,0.0,0.0,0.25936939807034687,0.0,0.0,-0.7900001048583984,0.0,0.0
165620,1729051549,592592638,0.0,0.0,0.0,-0.17640779040527346,0.0,0.0,1.2385272440400588,0.0,0.0,0.009208380996580362,0.0,0.0,-0.7853981625,0.0,0.0,-1.2333205520507813,0.0,0.0,-0.00613592314453125,0.0,0.0,-0.0015339807861328126,0.0,0.0,2.4693808372496338,0.0,0.0,-0.26077673364257814,0.0,0.0,0.7888513053737177,0.0,0.0,-1.2210487057617188,0.0,0.0,-0.003067961572265625,0.0,0.0,0.7857818450415243,0.0,0.0,1.2231799423790914,0.0,0.0,0.0,0.0,0.0,0.004604190498290181,0.0,0.0,-2.512660527685547,0.0,0.0,0.25783466790425014,0.0,0.0,-0.7900001048583984,0.0,0.0
165621,1729051549,600521774,-0.0015339807861328126,0.0,0.0,-0.17640779040527346,0.0,0.0,1.2385272440400588,0.0,0.0,0.009208380996580362,0.0,0.0,-0.7869321432861328,0.0,0.0,-1.2317865712646485,0.0,0.0,-0.00613592314453125,0.0,0.0,-0.0015339807861328126,0.0,0.0,2.4693808372496338,0.0,0.0,-0.26077673364257814,0.0,0.0,0.7888513053737177,0.0,0.0,-1.2210487057617188,0.0,0.0,-0.003067961572265625,0.0,0.0,0.7857818450415243,0.0,0.0,1.2231799423790914,0.0,0.0,0.0,0.0,0.0,0.004604190498290181,0.0,0.0,-2.512660527685547,0.0,0.0,0.25936939807034687,0.0,0.0,-0.7900001048583984,0.0,0.0
