Time,Denoised_Gyro_x,Denoised_Gyro_y,Denoised_Gyro_z
1729143856.492628,0.0057484538537388406,0.006083521951700914,-0.00072945070217540796
1729143856.50203,0.0074931278961326044,0.0049271833554066433,0.0014779348552738975
1729143856.50966,0.0093913124444929275,0.002956310013243986,0.003015211220474497
1729143856.516959,0.012232983419357246,0.003476546253794518,0.0041504220703258727
1729143856.524523,0.033094038770067259,0.0037886879981248369,0.0080242240412019342
1729143856.53528,0.16799656465082732,0.021642110595397342,0.026311882528553758
1729143856.540552,0.46348587115614731,0.081734211283356506,0.036645942528771805
1729143856.54854,0.78977097657105033,0.13949966483069562,0.019646270179221905
1729143856.556643,1.0623790959138888,0.12116052430707616,-0.034399609561097284
1729143856.564551,1.2727698742804154,0.061202682924770838,-0.13493754723921386
1729143856.572409,1.4405091222928794,0.047789551352875326,-0.26592486004878102
1729143856.580494,1.599897899582118,0.079543693156437972,-0.35090259865645179
1729143856.588418,1.7140486836292599,0.10455583909904401,-0.37102671236505702
1729143856.596393,1.7593390457078641,0.08678499193203118,-0.40757835912428692
1729143856.604561,1.7675700552199662,0.032276407301234239,-0.45952049651289806
1729143856.612403,1.7405819063175754,-0.052362930975611788,-0.48813163857729258
1729143856.620554,1.6330784987925349,-0.14869537051815679,-0.48592942601940692
1729143856.628543,1.4768402460324428,-0.22671511216313026,-0.46587773578034608
1729143856.636458,1.2956179867459401,-0.30204819126807042,-0.4040409844458519
1729143856.644663,1.1019594639123631,-0.3787491032792249,-0.2994670589034234
1729143856.652344,0.93085033228361491,-0.45776063024922503,-0.18542705117179142
1729143856.66033,0.7858286921908938,-0.53858421625599462,-0.066345929218830535
1729143856.668417,0.67391283953973224,-0.59154811350540759,0.05852684666643098
1729143856.676434,0.57313381309353484,-0.55989863269721263,0.22199404498169048
1729143856.68477,0.4788240373395849,-0.45002411609015203,0.38541778840526802
1729143856.692583,0.40904177998189195,-0.3317395285660858,0.48070504905991135
1729143856.700392,0.32971170015861739,-0.26119446611310804,0.56001328864872302
1729143856.708541,0.20740504647806612,-0.22355001931740381,0.6599581099618399
1729143856.716575,0.026534313750572379,-0.13051164606801502,0.74887192692912818
1729143856.724548,-0.18117391020657719,0.017473276188148111,0.79647340127976374
1729143856.732435,-0.39987634816397599,0.1997031980327619,0.74734584967332429
1729143856.740359,-0.62091841390690394,0.36161387373009107,0.59676049622351257
1729143856.748329,-0.78653463311596816,0.44024276147489022,0.44383284511870685
1729143856.756389,-0.92655776551103075,0.46273007055697185,0.35612031003971278
1729143856.764385,-1.045265384957224,0.4528095026258091,0.30030011353135111
1729143856.772386,-1.0751980206631226,0.4049266908131014,0.19444068517778873
1729143856.78083,-1.0399463444039081,0.33341515254854254,0.027908033291839628
1729143856.788848,-1.0090044672347525,0.27369347216205697,-0.12649988570686987
1729143856.796429,-0.98745951050302483,0.21657596085706404,-0.22404007281290894
1729143856.80479,-0.96772149548059583,0.15548698020196033,-0.27170908850925057
1729143856.812537,-0.95332454609836614,0.095420638428486346,-0.30094903301924858
1729143856.820547,-0.95298733266753799,0.028943993969866709,-0.32530404070863994
1729143856.828431,-0.97215390240556343,-0.040740297007647287,-0.33778859501496455
1729143856.836413,-1.014303528673645,-0.11745745663404226,-0.33463707606220855
1729143856.844363,-1.0700301438290294,-0.19818149241903482,-0.32614796873789342
1729143856.852351,-1.1447580488840772,-0.26002515082608435,-0.3389334869247097
1729143856.860345,-1.2589822719354169,-0.254988029785573,-0.35150023354361282
1729143856.86839,-1.3771096979265474,-0.17981129174345178,-0.32562361169018517
1729143856.876427,-1.4556485746275423,-0.065317768899867915,-0.24922395978905809
1729143856.884444,-1.4908525789272022,0.048288646290526746,-0.14996006593489686
1729143856.892555,-1.4843051275119661,0.1145368901281844,-0.046768498322541902
1729143856.900766,-1.4469599868380549,0.12448753212843677,0.06005674372911541
1729143856.908434,-1.3996500338381794,0.088314601243847074,0.13330422528154348
1729143856.916457,-1.3220968599393894,0.012761049938146255,0.14809294500285114
1729143856.924452,-1.2187353323949341,-0.074075861837822318,0.12780640762548656
1729143856.932439,-1.1084025938923205,-0.14490837160773284,0.1073335290005582
1729143856.94037,-0.99218436856896353,-0.27105597454696839,0.084407550289050406
1729143856.948332,-0.88967529864237294,-0.47019465413449885,0.049367459989044155
1729143856.957397,-0.78730361078606359,-0.73079411726168064,-0.018056810890321049
1729143856.964597,-0.68246021180315075,-0.99783321111811796,-0.10640150533241872
1729143856.972809,-0.58294482712766826,-1.1618878779851385,-0.20240301820534254
1729143856.980446,-0.49833272772685,-1.141127460895982,-0.32981709600886999
1729143856.988454,-0.45395081900828949,-0.97010166274788134,-0.45841257522008533
