Time,Velocity_raw_x,Velocity_raw_y,Velocity_raw_z,Velocity_wavelet_x,Velocity_wavelet_y,Velocity_wavelet_z,Velocity_UKF_x,Velocity_UKF_y,Velocity_UKF_z
1729156181.786936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.794484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.802433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.810844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.818557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.826549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.834511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.843648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.851833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.865911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.866366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.874606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.882556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.89047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.905111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.906642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.914521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.922568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.930909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.938593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.946501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.954726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.962389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.970428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.979601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.9864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156181.998468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156182.002445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156182.012313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156182.018527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156182.026403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156182.034532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156182.044598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156182.05052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156182.058498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156182.066458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156182.074406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156182.08299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156182.093993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156182.098446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156182.106475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156182.114493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156182.122489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156182.130469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156182.138512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156182.146443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156182.154368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156182.162347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156182.170338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156182.17867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729156182.186779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
