"Time,Accel_x,Accel_y,Accel_z,Orientation_x,Orientation_y,Orientation_z,Orientation_w,Gyro_x,Gyro_y,Gyro_z"
"11194,0.00,0.01,1.02,-0.0435,0.1490,-0.0275,0.9875,-0.98,0.06,-1.28"
"11244,0.00,0.01,1.02,-0.0420,0.1445,-0.0275,0.9882,-1.10,0.06,-1.28"
"11294,0.00,0.01,1.02,-0.0405,0.1400,-0.0275,0.9889,-0.79,0.12,-1.22"
"11344,0.00,0.01,1.02,-0.0391,0.1355,-0.0275,0.9896,-1.04,0.06,-1.34"
"11394,0.00,0.01,1.02,-0.0376,0.1310,-0.0275,0.9903,-0.91,0.12,-1.16"
"11444,0.00,0.01,1.03,-0.0361,0.1264,-0.0275,0.9909,-1.10,0.24,-1.16"
"11494,0.00,0.01,1.02,-0.0346,0.1219,-0.0275,0.9916,-0.79,0.06,-1.28"
"11544,0.01,0.02,1.03,-0.0331,0.1173,-0.0275,0.9922,-0.85,0.12,-1.22"
"11594,0.00,0.02,1.02,-0.0315,0.1127,-0.0275,0.9927,-0.79,0.06,-1.16"
"11644,0.00,0.01,1.02,-0.0300,0.1081,-0.0275,0.9933,-0.79,0.18,-1.10"
"11694,0.00,0.01,1.02,-0.0285,0.1035,-0.0274,0.9938,-0.85,0.24,-1.10"
"11744,0.00,0.01,1.02,-0.0269,0.0989,-0.0274,0.9944,-1.04,0.12,-1.28"
"11794,0.00,0.01,1.02,-0.0254,0.0943,-0.0274,0.9948,-1.04,-0.06,-1.28"
"11844,0.00,0.01,1.03,-0.0239,0.0896,-0.0274,0.9953,-0.98,0.12,-1.10"
"11894,0.00,0.01,1.02,-0.0223,0.0850,-0.0274,0.9958,-1.10,0.00,-1.28"
"11944,0.00,0.01,1.02,-0.0207,0.0803,-0.0274,0.9962,-0.85,0.00,-1.28"
"11994,0.00,0.01,1.02,-0.0192,0.0757,-0.0273,0.9966,-0.98,0.06,-1.22"
"12044,0.00,0.01,1.02,-0.0177,0.0710,-0.0273,0.9969,-0.79,0.18,-1.16"
"12094,0.00,0.01,1.02,-0.0161,0.0663,-0.0273,0.9973,-0.98,0.24,-1.22"
"12144,0.00,0.01,1.03,-0.0145,0.0616,-0.0273,0.9976,-0.85,0.24,-1.34"
"12194,0.00,0.01,1.03,-0.0130,0.0569,-0.0273,0.9979,-0.79,0.06,-1.28"
"12244,0.00,0.01,1.03,-0.0114,0.0522,-0.0273,0.9982,-0.91,0.12,-1.10"
"12294,0.00,0.01,1.02,-0.0098,0.0475,-0.0272,0.9985,-0.79,0.06,-1.28"
"12344,0.00,0.02,1.02,-0.0083,0.0427,-0.0272,0.9987,-0.98,0.24,-1.28"
"12394,0.00,0.01,1.02,-0.0067,0.0380,-0.0272,0.9989,-0.91,0.18,-1.10"
"12444,0.01,0.01,1.03,-0.0051,0.0333,-0.0272,0.9991,-0.91,0.06,-1.16"
"12494,0.00,0.01,1.02,-0.0036,0.0285,-0.0271,0.9992,-0.79,0.37,-1.16"
"12544,0.00,0.01,1.02,-0.0021,0.0238,-0.0271,0.9993,-0.91,0.18,-1.34"
"12594,0.00,0.01,1.02,-0.0005,0.0191,-0.0271,0.9995,-0.85,0.06,-1.28"
"12644,0.00,0.01,1.02,0.0010,0.0143,-0.0271,0.9995,-0.85,0.06,-1.16"
"12694,0.00,0.01,1.02,0.0026,0.0096,-0.0270,0.9996,-0.91,0.12,-1.28"
"12744,0.00,0.01,1.03,0.0040,0.0048,-0.0270,0.9996,-0.79,0.18,-1.16"
"12794,0.00,0.02,1.02,0.0059,0.0002,-0.0270,0.9996,-0.85,0.18,-1.22"
"12844,0.00,0.02,1.02,0.0067,-0.0017,-0.0270,0.9996,-0.85,0.18,-1.22"
"12894,0.00,0.01,1.02,0.0059,-0.0006,-0.0270,0.9996,-0.85,0.18,-1.34"
"12944,0.00,0.01,1.02,0.0059,-0.0023,-0.0270,0.9996,-0.85,0.18,-1.28"
"12994,0.00,0.01,1.02,0.0067,-0.0011,-0.0270,0.9996,-0.61,-0.06,-1.10"
"13044,0.00,0.02,1.02,0.0069,-0.0016,-0.0270,0.9996,-0.91,-0.06,-1.22"
"13094,0.00,0.01,1.02,0.0066,-0.0019,-0.0270,0.9996,-0.85,0.06,-1.22"
"13144,0.00,0.02,1.02,0.0072,-0.0021,-0.0270,0.9996,-0.85,0.24,-1.40"
"13194,0.00,0.01,1.02,0.0067,-0.0014,-0.0270,0.9996,-0.79,0.18,-1.10"
"13244,0.01,0.02,1.02,0.0061,-0.0025,-0.0270,0.9996,-0.79,0.18,-1.22"
"13294,0.00,0.01,1.02,0.0060,-0.0027,-0.0270,0.9996,-0.85,0.12,-1.10"
"13344,0.00,0.02,1.02,0.0069,-0.0025,-0.0270,0.9996,-0.98,0.00,-1.16"
"13394,0.00,0.01,1.03,0.0058,-0.0016,-0.0270,0.9996,-0.91,0.06,-1.34"
"13444,0.00,0.01,1.03,0.0065,-0.0009,-0.0270,0.9996,-0.85,0.24,-1.28"
"13494,0.01,0.01,1.02,0.0067,-0.0018,-0.0270,0.9996,-1.10,0.37,-1.16"
"13544,0.00,0.01,1.03,0.0066,-0.0018,-0.0270,0.9996,-0.67,-0.06,-1.28"
"13594,0.01,0.01,1.03,0.0066,-0.0013,-0.0270,0.9996,-0.98,0.12,-1.28"
"13644,-0.00,0.01,1.02,0.0069,-0.0012,-0.0270,0.9996,-0.85,0.06,-1.22"
"13694,0.01,0.01,1.03,0.0061,-0.0020,-0.0270,0.9996,-0.98,0.00,-1.40"
"13744,0.01,0.01,1.02,0.0057,-0.0024,-0.0270,0.9996,-0.85,0.24,-1.04"
"13794,0.00,0.01,1.02,0.0062,-0.0017,-0.0270,0.9996,-0.79,0.18,-1.28"
"13844,0.00,0.01,1.02,0.0061,-0.0011,-0.0270,0.9996,-1.10,0.12,-1.16"
"13894,0.00,0.01,1.02,0.0058,-0.0020,-0.0270,0.9996,-0.79,0.18,-1.10"
"13944,0.01,0.02,1.02,0.0060,-0.0014,-0.0270,0.9996,-0.73,0.06,-1.28"
"13994,0.00,0.01,1.02,0.0071,-0.0021,-0.0270,0.9996,-0.67,0.18,-1.16"
"14044,0.00,0.01,1.02,0.0059,-0.0006,-0.0270,0.9996,-0.79,0.06,-1.16"
"14094,0.00,0.01,1.02,0.0061,-0.0018,-0.0270,0.9996,-0.91,0.12,-1.10"
"14144,0.00,0.01,1.02,0.0068,-0.0017,-0.0270,0.9996,-0.79,0.12,-1.10"
"14194,0.00,0.01,1.02,0.0063,-0.0012,-0.0270,0.9996,-0.85,0.12,-1.16"
"14244,0.00,0.01,1.02,0.0066,-0.0014,-0.0270,0.9996,-0.73,0.12,-1.04"
"14294,0.00,0.01,1.02,0.0061,-0.0009,-0.0270,0.9996,-0.73,0.06,-1.34"
"14344,0.00,0.01,1.02,0.0063,-0.0013,-0.0270,0.9996,-0.79,0.18,-1.16"
"14394,0.00,0.01,1.02,0.0064,-0.0013,-0.0270,0.9996,-0.85,0.12,-1.16"
"14444,0.01,0.02,1.03,0.0062,-0.0016,-0.0270,0.9996,-0.91,0.12,-1.22"
"14494,0.00,0.01,1.02,0.0066,-0.0012,-0.0270,0.9996,-0.85,0.24,-1.16"
"14544,0.00,0.01,1.02,0.0071,-0.0012,-0.0270,0.9996,-1.04,0.24,-1.22"
"14594,-0.00,0.01,1.02,0.0067,-0.0009,-0.0270,0.9996,-0.73,0.00,-1.28"
"14644,0.00,0.01,1.03,0.0071,-0.0018,-0.0270,0.9996,-0.91,0.12,-1.22"
"14694,0.00,0.01,1.02,0.0068,-0.0016,-0.0270,0.9996,-0.85,0.18,-1.22"
"14744,-0.00,0.02,1.03,0.0071,-0.0008,-0.0270,0.9996,-0.85,0.00,-1.22"
"14794,0.00,0.01,1.02,0.0063,-0.0015,-0.0270,0.9996,-0.91,0.12,-1.16"
"14844,0.00,0.01,1.02,0.0059,-0.0016,-0.0270,0.9996,-0.98,0.18,-1.22"
"14894,0.00,0.01,1.02,0.0067,-0.0016,-0.0270,0.9996,-0.85,0.24,-1.22"
"14944,0.00,0.01,1.02,0.0069,-0.0015,-0.0270,0.9996,-0.67,0.37,-1.22"
"14994,0.01,0.01,1.02,0.0056,-0.0026,-0.0270,0.9996,-0.91,0.24,-1.22"
"15044,0.00,0.01,1.03,0.0061,-0.0017,-0.0270,0.9996,-0.98,-0.06,-1.16"
"15094,0.00,0.01,1.02,0.0065,-0.0016,-0.0270,0.9996,-0.98,-0.06,-1.10"
"15144,0.00,0.01,1.03,0.0060,-0.0019,-0.0270,0.9996,-0.91,0.18,-1.16"
"15194,0.00,0.02,1.02,0.0070,-0.0014,-0.0270,0.9996,-0.79,0.18,-1.16"
"15244,0.00,0.01,1.03,0.0067,-0.0011,-0.0270,0.9996,-1.04,0.12,-1.16"
"15294,0.00,0.01,1.02,0.0064,-0.0024,-0.0270,0.9996,-0.73,0.00,-1.10"
"15344,0.00,0.01,1.02,0.0064,-0.0021,-0.0270,0.9996,-0.91,0.06,-1.16"
"15394,0.00,0.01,1.03,0.0065,-0.0017,-0.0270,0.9996,-0.73,0.06,-1.22"
"15444,0.00,0.01,1.02,0.0056,-0.0017,-0.0270,0.9996,-0.91,0.06,-1.22"
"15494,0.00,0.01,1.02,0.0061,-0.0019,-0.0270,0.9996,-0.91,0.06,-1.28"
"15544,0.00,0.01,1.02,0.0066,-0.0015,-0.0270,0.9996,-0.79,0.12,-1.10"
"15594,-0.00,0.01,1.02,0.0065,-0.0012,-0.0270,0.9996,-1.16,0.06,-1.28"
"15644,0.00,0.01,1.02,0.0065,-0.0016,-0.0270,0.9996,-0.61,0.37,-1.16"
"15694,-0.00,0.01,1.02,0.0065,-0.0008,-0.0270,0.9996,-0.98,0.00,-1.16"
"15744,0.00,0.02,1.02,0.0074,-0.0017,-0.0270,0.9996,-0.98,0.06,-1.22"
"15794,-0.00,0.01,1.02,0.0053,-0.0003,-0.0270,0.9996,-0.98,0.12,-1.22"
"15844,0.00,0.01,1.02,0.0061,-0.0016,-0.0270,0.9996,-0.79,0.06,-1.22"
"15894,0.00,0.01,1.02,0.0064,-0.0017,-0.0270,0.9996,-0.79,0.12,-1.34"
"15944,0.00,0.01,1.02,0.0063,-0.0026,-0.0270,0.9996,-0.73,0.00,-1.22"
"15994,0.00,0.01,1.02,0.0070,-0.0012,-0.0270,0.9996,-0.91,0.06,-1.22"
"16044,0.00,0.01,1.02,0.0053,-0.0009,-0.0270,0.9996,-0.98,0.18,-1.28"
"16094,0.00,0.01,1.02,0.0066,-0.0017,-0.0270,0.9996,-0.73,0.12,-1.22"
"16144,0.00,0.01,1.03,0.0068,-0.0014,-0.0270,0.9996,-0.91,0.18,-1.22"
"16194,0.00,0.01,1.02,0.0057,-0.0009,-0.0270,0.9996,-0.91,0.18,-1.16"
"16244,-0.00,0.01,1.03,0.0059,-0.0012,-0.0270,0.9996,-0.85,0.06,-1.16"
"16294,0.00,0.01,1.02,0.0060,-0.0009,-0.0270,0.9996,-0.79,0.18,-1.10"
"16344,0.00,0.01,1.03,0.0055,-0.0014,-0.0270,0.9996,-0.98,0.12,-1.22"
"16394,0.00,0.01,1.02,0.0060,-0.0015,-0.0270,0.9996,-0.85,0.18,-1.10"
"16444,0.00,0.01,1.02,0.0067,-0.0014,-0.0270,0.9996,-1.04,0.12,-1.10"
"16494,0.00,0.01,1.02,0.0064,-0.0016,-0.0270,0.9996,-0.98,0.12,-1.28"
"16544,0.00,0.01,1.03,0.0059,-0.0012,-0.0270,0.9996,-0.79,0.00,-1.22"
"16594,0.00,0.01,1.03,0.0066,-0.0017,-0.0270,0.9996,-0.91,0.12,-1.16"
"16644,0.00,0.01,1.02,0.0063,-0.0011,-0.0270,0.9996,-0.85,0.06,-1.22"
"16694,0.00,0.01,1.03,0.0064,-0.0019,-0.0270,0.9996,-0.79,0.12,-1.22"
"16744,0.00,0.01,1.02,0.0067,-0.0014,-0.0270,0.9996,-0.85,0.12,-1.16"
"16794,0.00,0.01,1.03,0.0064,-0.0018,-0.0270,0.9996,-0.79,0.06,-1.28"
"16844,0.01,0.01,1.03,0.0066,-0.0014,-0.0270,0.9996,-0.91,0.12,-1.34"
