com_x,com_y,com_z,proj_com_x,proj_com_y,proj_com_z,moment_x,moment_y,zmp_x,zmp_y,support_phase,area,perimeter
-25.66289821910191,-4.118503036059581,0.8594273700095197,-25.66289821910191,-4.118503036059581,0,0.6554589791510136,0.9282001274999968,-25.386078964803225,-4.123575762992558,Double Support,229.32999999999998,42.70768096208106
-25.664260621791012,-4.111432298698984,0.8539383652801752,-25.664260621791012,-4.111432298698984,0,0.6535750362439492,0.9282001274999983,-25.389310933881465,-4.116461228277218,Double Support,229.32999999999998,42.70768096208106
-25.641484360181376,-4.2465226814321335,0.8803745313518364,-25.641484360181376,-4.2465226814321335,0,0.6553110888909819,0.928200127499999,-25.357862178068327,-4.251879029367474,Double Support,229.32999999999998,42.70768096208106
-25.550303107056774,-4.755580954957596,0.9251735507617888,-25.550303107056774,-4.755580954957596,0,0.6580582327716423,0.9282001274999995,-25.252455362695116,-4.761844766981858,Double Support,229.32999999999998,42.70768096208106
-25.541608220528705,-4.8033020851753365,0.9202152566304975,-25.541608220528705,-4.8033020851753365,0,0.6578392931343071,0.9282001274999998,-25.245392639843995,-4.809584663588305,Double Support,229.32999999999998,42.70768096208106
-25.596606167050695,-4.50313301221198,0.9071413037254111,-25.596606167050695,-4.50313301221198,0,0.6571130039604945,0.9282001274999999,-25.304397254870736,-4.508969341276411,Double Support,229.32999999999998,42.70768096208106
-25.579742332403377,-4.592164160036853,0.9371841198205217,-25.579742332403377,-4.592164160036853,0,0.6589082211440545,0.9282001275,-25.277872147268194,-4.5983195662709315,Double Support,229.32999999999998,42.70768096208106
-25.55277265971851,-4.7392253561211755,0.9388483969389215,-25.55277265971851,-4.7392253561211755,0,0.6590221908640698,0.9282001275000001,-25.25016015265743,-4.74557999253088,Double Support,229.32999999999998,42.70768096208106
-25.5737107682874,-4.627350170215948,0.9267318448564559,-25.5737107682874,-4.627350170215948,0,0.6583177535560685,0.9282001275000001,-25.274741891191294,-4.633485184876332,Double Support,229.32999999999998,42.70768096208106
-25.611291871587298,-4.415629054839432,0.9213992800824995,-25.611291871587298,-4.415629054839432,0,0.6592160427215654,0.9282001275000002,-25.31373365218681,-4.421477251484504,Double Support,229.32999999999998,42.70768096208106
-25.648972205944823,-4.2043012349823865,0.8646404346513159,-25.648972205944823,-4.2043012349823865,0,0.6564793712902997,0.9282001275000002,-25.369939767203388,-4.209513512739487,Double Support,229.32999999999998,42.70768096208106
-25.63635361387754,-4.2765971318543174,0.8804793336357158,-25.63635361387754,-4.2765971318543174,0,0.6578631973004093,0.9282001275000002,-25.352071074019083,-4.281998916553531,Double Support,229.32999999999998,42.70768096208106
-25.63701540175499,-4.272954848119159,0.8802178372981753,-25.63701540175499,-4.272954848119159,0,0.658097313277721,0.9282001275000002,-25.352552604723396,-4.2783561505401675,Double Support,229.32999999999998,42.70768096208106
-25.701160339786448,-3.8780686747609474,0.8407138654731005,-25.701160339786448,-3.8780686747609474,0,0.6546984815554846,0.9282001275000002,-25.429805933237724,-3.8827713668105543,Double Support,229.32999999999998,42.70768096208106
-25.703239791562588,-3.8638108532729705,0.8376057945837364,-25.703239791562588,-3.8638108532729705,0,0.65503453657311,0.9282001275000002,-25.432807193289406,-3.8684803680061353,Double Support,229.32999999999998,42.70768096208106
-25.68631746971754,-3.975845862459554,0.8376179252143671,-25.68631746971754,-3.975845862459554,0,0.655350024147901,0.9282001275000002,-25.415745762030102,-3.9806387390289717,Double Support,229.32999999999998,42.70768096208106
-25.68935502064307,-3.957139499663616,0.8281821122525667,-25.68935502064307,-3.957139499663616,0,0.6538701933100577,0.9238609557093675,-25.421845705374892,-3.961854511595795,Double Support,229.32999999999998,42.70768096208106
-25.679268586613116,-4.022782940417233,0.8281966763172628,-25.679268586613116,-4.022782940417233,0,0.6522474096855481,0.925596578641503,-25.41205617837133,-4.027563207138022,Double Support,229.32999999999998,42.70768096208106
-25.65067787913063,-4.197399532455911,0.8428791317619115,-25.65067787913063,-4.197399532455911,0,0.6532205113350387,0.9266103044078999,-25.37899932977132,-4.202456305226865,Double Support,229.32999999999998,42.70768096208106
-25.649056438260253,-4.206249374565056,0.8480882917797073,-25.649056438260253,-4.206249374565056,0,0.6547053407488902,0.9272403383917378,-25.37557327284506,-4.211351426656788,Double Support,229.32999999999998,42.70768096208106
-25.698649946205038,-3.8985333165152602,0.8160009967402128,-25.698649946205038,-3.8985333165152602,0,0.652387540335301,0.9276460421223853,-25.43551269307237,-3.903103803662712,Double Support,229.32999999999998,42.70768096208106
-25.72932303936207,-3.695298682006601,0.7936080904500035,-25.72932303936207,-3.695298682006601,0,0.6518645667903519,0.9278767994843004,-25.473355748810054,-3.6995265613019117,Double Support,229.32999999999998,42.70768096208106
-25.686241532517084,-3.9827919349020986,0.8063644425371658,-25.686241532517084,-3.9827919349020986,0,0.6541904454471177,0.9280030124113761,-25.42593041345851,-3.9873943428107,Double Support,229.32999999999998,42.70768096208106
-25.66438694991059,-4.115433260194162,0.8274216800367727,-25.66438694991059,-4.115433260194162,0,0.6564641476099176,0.9280787699927594,-25.39739280810974,-4.12030442557173,Double Support,229.32999999999998,42.70768096208106
-25.659418969254933,-4.143732319653503,0.8440277686321714,-25.659418969254933,-4.143732319653503,0,0.6570021539276285,0.928125851631832,-25.38713653636893,-4.148739388498534,Double Support,229.32999999999998,42.70768096208106
-25.610704542904102,-4.428898082097687,0.8789390757559737,-25.610704542904102,-4.428898082097687,0,0.6588811633618158,0.9281537186267297,-25.327203619933012,-4.434455273501004,Double Support,229.32999999999998,42.70768096208106
-25.601874499610343,-4.483994841911813,0.851449156169267,-25.601874499610343,-4.483994841911813,0,0.6569663965920624,0.9281731530733933,-25.327151109958397,-4.489425112552881,Double Support,229.32999999999998,42.70768096208106
-25.611508892924377,-4.428884472847964,0.8501459419097108,-25.611508892924377,-4.428884472847964,0,0.6567715699690618,0.9281839676160079,-25.337476151347254,-4.434239228217214,Double Support,229.32999999999998,42.70768096208106
-25.62555248601762,-4.345711151375529,0.8612280103727298,-25.62555248601762,-4.345711151375529,0,0.6551382594883546,0.9281903051784063,-25.34811180293965,-4.351048477239311,Double Support,229.32999999999998,42.70768096208106
-25.609983571449796,-4.434143168337762,0.87465577359544,-25.609983571449796,-4.434143168337762,0,0.6533777059316269,0.9281941422207092,-25.32837275720526,-4.4396708670179015,Double Support,229.32999999999998,42.70768096208106
-25.618107211996595,-4.3817855449248535,0.8922372210869819,-25.618107211996595,-4.3817855449248535,0,0.6528077637595706,0.9281964641463999,-25.330846031488807,-4.387376234924193,Double Support,229.32999999999998,42.70768096208106
-25.600326053751022,-4.481919393871804,0.9099242979975303,-25.600326053751022,-4.481919393871804,0,0.6540132845050873,0.9281978859160083,-25.307434445802997,-4.487748698129306,Double Support,229.32999999999998,42.70768096208106
-25.616753208357053,-4.384936676494073,0.8977771819347731,-25.616753208357053,-4.384936676494073,0,0.6534791758074988,0.928198800504141,-25.327880699524197,-4.390565666133483,Double Support,229.32999999999998,42.70768096208106
-25.541981997727145,-4.800502659503262,0.9229384316340552,-25.541981997727145,-4.800502659503262,0,0.6549588716340068,0.9281993089881233,-25.244583015815113,-4.806812303115808,Double Support,229.32999999999998,42.70768096208106
-25.56519506828051,-4.68186120674209,0.892656577552548,-25.56519506828051,-4.68186120674209,0,0.6533264985756393,0.9281996525062288,-25.277403132753513,-4.68780952520763,Double Support,229.32999999999998,42.70768096208106
-25.638441873928834,-4.268729030160108,0.8589158609344154,-25.638441873928834,-4.268729030160108,0,0.6537294951919078,0.9281998532760527,-25.361406863491908,-4.273973807417058,Double Support,229.32999999999998,42.70768096208106
-25.656674134241072,-4.160569426896085,0.8476247803278165,-25.656674134241072,-4.160569426896085,0,0.6544210487610976,0.928199965128557,-25.383148763124055,-4.165622745170076,Double Support,229.32999999999998,42.70768096208106
-25.653264124271352,-4.179309903325245,0.8585704040546772,-25.653264124271352,-4.179309903325245,0,0.6547712632681055,0.9282000288190847,-25.376160352476653,-4.184456229159258,Double Support,229.32999999999998,42.70768096208106
-25.62746103138865,-4.329100823648084,0.8815638432261294,-25.62746103138865,-4.329100823648084,0,0.6559511136085756,0.9282000667057823,-25.343299172481576,-4.334561955042681,Double Support,229.32999999999998,42.70768096208106
-25.62322588199595,-4.35947806466174,0.859639922725015,-25.62322588199595,-4.35947806466174,0,0.6545420301604516,0.9282000919306171,-25.346316083290656,-4.364820287707633,Double Support,229.32999999999998,42.70768096208106
-25.612823679026413,-4.423555274845121,0.8383206183731052,-25.612823679026413,-4.423555274845121,0,0.6532170618388915,0.9282001066876486,-25.342796557566388,-4.428821887719119,Double Support,229.32999999999998,42.70768096208106
-25.62405946350518,-4.349310620751861,0.8821717727274454,-25.62405946350518,-4.349310620751861,0,0.6569217709003805,0.9282001143593936,-25.340246158066773,-4.354786317753319,Double Support,229.32999999999998,42.70768096208106
-25.60393528705528,-4.465985686594954,0.8864128911400944,-25.60393528705528,-4.465985686594954,0,0.65784978447683,0.9282001195777315,-25.318954560651843,-4.4716176718961185,Double Support,229.32999999999998,42.70768096208106
-25.620501021755786,-4.373767869551126,0.8694041277230129,-25.620501021755786,-4.373767869551126,0,0.6572064534135219,0.9282001228378479,-25.341090755020243,-4.37917633054303,Double Support,229.32999999999998,42.70768096208106
-25.653053399354764,-4.183919447664958,0.8371996808723828,-25.653053399354764,-4.183919447664958,0,0.6543566883615707,0.9282001248063261,-25.38350091553594,-4.188917036292425,Double Support,229.32999999999998,42.70768096208106
-25.616906301518576,-4.395803553313043,0.8605278000974577,-25.616906301518576,-4.395803553313043,0,0.6541054973114572,0.9282001258387611,-25.340064936644517,-4.401184578137501,Double Support,229.32999999999998,42.70768096208106
-25.582254145021075,-4.590452901554618,0.8749286821336721,-25.582254145021075,-4.590452901554618,0,0.6550807334459887,0.9282001264865763,-25.300339328252452,-4.59616207209545,Double Support,229.32999999999998,42.70768096208106
-25.61354905421125,-4.411060816894144,0.8800745858171213,-25.61354905421125,-4.411060816894144,0,0.6554624477035921,0.9282001268883696,-25.329849889750147,-4.416605417169315,Double Support,229.32999999999998,42.70768096208106
-25.591423535170115,-4.53429651350409,0.8992673416874286,-25.591423535170115,-4.53429651350409,0,0.655462001092465,0.9282001271250188,-25.301545613277213,-4.540118950138348,Double Support,229.32999999999998,42.70768096208106
