timestamp,log_level,message
2024-10-17 12:28:52,INFO,"Calculated Dynamic CoM: x=6.94333882682, y=-0.945500661273, z=25.1525950253"
2024-10-17 12:28:52,INFO,"Projected CoM on the ground: x=6.94333882682, y=-0.945500661273"
2024-10-17 12:28:52,INFO,"Calculated Dynamic ZMP: x=-19.8163649987, y=-1.72394959966"
2024-10-17 12:28:52,INFO,"Calculated Dynamic CoM: x=2.1285696537, y=-0.502160282231, z=26.0145618051"
2024-10-17 12:28:52,INFO,"Projected CoM on the ground: x=2.1285696537, y=-0.502160282231"
2024-10-17 12:28:52,INFO,"Calculated Dynamic ZMP: x=8.59949627506, y=19.5500986114"
2024-10-17 12:28:52,INFO,"Calculated Dynamic CoM: x=4.41551047894, y=-0.267375913084, z=25.7480160312"
2024-10-17 12:28:52,INFO,"Projected CoM on the ground: x=4.41551047894, y=-0.267375913084"
2024-10-17 12:28:52,INFO,"Calculated Dynamic ZMP: x=-65.1744493982, y=-68.4376295985"
2024-10-17 12:28:52,INFO,"Calculated Dynamic CoM: x=3.37625081842, y=-1.16133301416, z=25.9008939856"
2024-10-17 12:28:52,INFO,"Projected CoM on the ground: x=3.37625081842, y=-1.16133301416"
2024-10-17 12:28:52,INFO,"Calculated Dynamic ZMP: x=149.316199876, y=-51.5849082411"
2024-10-17 12:28:52,INFO,"Calculated Dynamic CoM: x=-0.67707622924, y=-0.895106855789, z=26.1296262957"
2024-10-17 12:28:52,INFO,"Projected CoM on the ground: x=-0.67707622924, y=-0.895106855789"
2024-10-17 12:28:52,INFO,"Calculated Dynamic ZMP: x=-4.42950635341, y=-42.6243390771"
2024-10-17 12:28:52,INFO,"Calculated Dynamic CoM: x=3.49536842993, y=-1.55248340217, z=25.8527971427"
2024-10-17 12:28:52,INFO,"Projected CoM on the ground: x=3.49536842993, y=-1.55248340217"
2024-10-17 12:28:52,INFO,"Calculated Dynamic ZMP: x=-28.4387748169, y=31.7491417816"
2024-10-17 12:28:52,INFO,"Calculated Dynamic CoM: x=4.51399378236, y=-1.31196268055, z=25.6843265062"
2024-10-17 12:28:52,INFO,"Projected CoM on the ground: x=4.51399378236, y=-1.31196268055"
2024-10-17 12:28:52,INFO,"Calculated Dynamic ZMP: x=-20.2328944256, y=7.92953634479"
2024-10-17 12:28:52,INFO,"Calculated Dynamic CoM: x=-0.975495445984, y=-0.894995272456, z=26.0493467837"
2024-10-17 12:28:52,INFO,"Projected CoM on the ground: x=-0.975495445984, y=-0.894995272456"
2024-10-17 12:28:52,INFO,"Calculated Dynamic ZMP: x=3.6211883158, y=16.8654513327"
2024-10-17 12:28:53,INFO,"Calculated Dynamic CoM: x=2.77334862381, y=-0.477562307147, z=25.950023873"
2024-10-17 12:28:53,INFO,"Projected CoM on the ground: x=2.77334862381, y=-0.477562307147"
2024-10-17 12:28:53,INFO,"Calculated Dynamic ZMP: x=-11.7873922562, y=-27.2306719422"
2024-10-17 12:28:53,INFO,"Calculated Dynamic CoM: x=4.49945440952, y=-0.964150475123, z=25.7203509387"
2024-10-17 12:28:53,INFO,"Projected CoM on the ground: x=4.49945440952, y=-0.964150475123"
2024-10-17 12:28:53,INFO,"Calculated Dynamic ZMP: x=568.024848176, y=25.5937895746"
2024-10-17 12:28:53,INFO,"Calculated Dynamic CoM: x=-0.339375528758, y=-1.03222637591, z=26.1286400703"
2024-10-17 12:28:53,INFO,"Projected CoM on the ground: x=-0.339375528758, y=-1.03222637591"
2024-10-17 12:28:53,INFO,"Calculated Dynamic ZMP: x=-9.19784726777, y=54.0409965023"
2024-10-17 12:28:53,INFO,"Calculated Dynamic CoM: x=3.47391879749, y=-0.933674364738, z=25.894858218"
2024-10-17 12:28:53,INFO,"Projected CoM on the ground: x=3.47391879749, y=-0.933674364738"
2024-10-17 12:28:53,INFO,"Calculated Dynamic ZMP: x=-28.1665552385, y=-5.48725635198"
2024-10-17 12:28:53,INFO,"Calculated Dynamic CoM: x=5.45318940584, y=-1.54599476151, z=25.4942961865"
2024-10-17 12:28:53,INFO,"Projected CoM on the ground: x=5.45318940584, y=-1.54599476151"
2024-10-17 12:28:53,INFO,"Calculated Dynamic ZMP: x=-26.103813866, y=12.4300352914"
2024-10-17 12:28:53,INFO,"Calculated Dynamic CoM: x=-0.118197426317, y=-0.994888425912, z=26.0823689238"
2024-10-17 12:28:53,INFO,"Projected CoM on the ground: x=-0.118197426317, y=-0.994888425912"
2024-10-17 12:28:53,INFO,"Calculated Dynamic ZMP: x=-28.8306370694, y=1009.57242809"
2024-10-17 12:28:53,INFO,"Calculated Dynamic CoM: x=1.13823609541, y=-1.14465243284, z=26.0472261786"
2024-10-17 12:28:53,INFO,"Projected CoM on the ground: x=1.13823609541, y=-1.14465243284"
2024-10-17 12:28:53,INFO,"Calculated Dynamic ZMP: x=-5.36758295049, y=13.7033738012"
2024-10-17 12:28:53,INFO,"Calculated Dynamic CoM: x=4.26267104003, y=-1.10596438857, z=25.75862392"
2024-10-17 12:28:53,INFO,"Projected CoM on the ground: x=4.26267104003, y=-1.10596438857"
2024-10-17 12:28:53,INFO,"Calculated Dynamic ZMP: x=30.7940036663, y=-4.90988773766"
2024-10-17 12:28:53,INFO,"Calculated Dynamic CoM: x=1.12419352652, y=-0.969724780539, z=26.1259769975"
2024-10-17 12:28:53,INFO,"Projected CoM on the ground: x=1.12419352652, y=-0.969724780539"
2024-10-17 12:28:53,INFO,"Calculated Dynamic ZMP: x=26.9370049654, y=15.5555123459"
2024-10-17 12:28:53,INFO,"Calculated Dynamic CoM: x=3.21672418676, y=-0.939216470715, z=25.929503654"
2024-10-17 12:28:53,INFO,"Projected CoM on the ground: x=3.21672418676, y=-0.939216470715"
2024-10-17 12:28:53,INFO,"Calculated Dynamic ZMP: x=-36.5766227282, y=-7.07573759102"
2024-10-17 12:28:54,INFO,"Calculated Dynamic CoM: x=6.67509139876, y=-1.5815234417, z=25.1968636448"
2024-10-17 12:28:54,INFO,"Projected CoM on the ground: x=6.67509139876, y=-1.5815234417"
2024-10-17 12:28:54,INFO,"Calculated Dynamic ZMP: x=-64.7072478046, y=20.9172602156"
2024-10-17 12:28:54,INFO,"Calculated Dynamic CoM: x=-0.76387801462, y=-0.913104773351, z=26.0627307879"
2024-10-17 12:28:54,INFO,"Projected CoM on the ground: x=-0.76387801462, y=-0.913104773351"
2024-10-17 12:28:54,INFO,"Calculated Dynamic ZMP: x=2.37535622882, y=17.5180606428"
2024-10-17 12:28:54,INFO,"Calculated Dynamic CoM: x=-1.00583843675, y=-1.0122295197, z=26.0344597479"
2024-10-17 12:28:54,INFO,"Projected CoM on the ground: x=-1.00583843675, y=-1.0122295197"
2024-10-17 12:28:54,INFO,"Calculated Dynamic ZMP: x=4.4289178962, y=-2.57237245823"
2024-10-17 12:28:54,INFO,"Calculated Dynamic CoM: x=5.04840189386, y=-0.962062808143, z=25.6036635514"
2024-10-17 12:28:54,INFO,"Projected CoM on the ground: x=5.04840189386, y=-0.962062808143"
2024-10-17 12:28:54,INFO,"Calculated Dynamic ZMP: x=44.3307170563, y=0.585372312834"
2024-10-17 12:28:54,INFO,"Calculated Dynamic CoM: x=1.6116820642, y=-0.909776441567, z=26.0893836977"
2024-10-17 12:28:54,INFO,"Projected CoM on the ground: x=1.6116820642, y=-0.909776441567"
2024-10-17 12:28:54,INFO,"Calculated Dynamic ZMP: x=-5.14203182498, y=-7.14438239601"
2024-10-17 12:28:54,INFO,"Calculated Dynamic CoM: x=4.49888871328, y=-1.27251715921, z=25.7397112365"
2024-10-17 12:28:54,INFO,"Projected CoM on the ground: x=4.49888871328, y=-1.27251715921"
2024-10-17 12:28:54,INFO,"Calculated Dynamic ZMP: x=-93.7381731105, y=31.1501661414"
2024-10-17 12:28:54,INFO,"Calculated Dynamic CoM: x=5.49435241747, y=-1.54965005247, z=25.5048516212"
2024-10-17 12:28:54,INFO,"Projected CoM on the ground: x=5.49435241747, y=-1.54965005247"
2024-10-17 12:28:54,INFO,"Calculated Dynamic ZMP: x=275.998662938, y=-120.445904916"
2024-10-17 12:28:54,INFO,"Calculated Dynamic CoM: x=-2.6945127603, y=-0.711564682908, z=25.9584893016"
2024-10-17 12:28:54,INFO,"Projected CoM on the ground: x=-2.6945127603, y=-0.711564682908"
2024-10-17 12:28:54,INFO,"Calculated Dynamic ZMP: x=6.99551387971, y=10.2225968811"
2024-10-17 12:28:54,INFO,"Calculated Dynamic CoM: x=-0.78287383786, y=-1.00222260369, z=26.0525840825"
2024-10-17 12:28:54,INFO,"Projected CoM on the ground: x=-0.78287383786, y=-1.00222260369"
2024-10-17 12:28:54,INFO,"Calculated Dynamic ZMP: x=6.4379495093, y=-1.12960634471"
2024-10-17 12:28:54,INFO,"Calculated Dynamic CoM: x=5.73547837953, y=-0.518572421667, z=25.47892346"
2024-10-17 12:28:54,INFO,"Projected CoM on the ground: x=5.73547837953, y=-0.518572421667"
2024-10-17 12:28:54,INFO,"Calculated Dynamic ZMP: x=-322.357270471, y=-123.340568909"
2024-10-17 12:28:55,INFO,"Calculated Dynamic CoM: x=1.34469616184, y=-0.859219158411, z=26.1226966433"
2024-10-17 12:28:55,INFO,"Projected CoM on the ground: x=1.34469616184, y=-0.859219158411"
2024-10-17 12:28:55,INFO,"Calculated Dynamic ZMP: x=-3.12534302845, y=-10.5305382413"
2024-10-17 12:28:55,INFO,"Calculated Dynamic CoM: x=6.64872111054, y=-1.7283530348, z=25.2556121071"
2024-10-17 12:28:55,INFO,"Projected CoM on the ground: x=6.64872111054, y=-1.7283530348"
2024-10-17 12:28:55,INFO,"Calculated Dynamic ZMP: x=177.010205472, y=-69.0957043225"
2024-10-17 12:28:55,INFO,"Calculated Dynamic CoM: x=6.46115444498, y=-1.54716793799, z=25.2869473447"
2024-10-17 12:28:55,INFO,"Projected CoM on the ground: x=6.46115444498, y=-1.54716793799"
2024-10-17 12:28:55,INFO,"Calculated Dynamic ZMP: x=91.2070036525, y=-28.4598605688"
2024-10-17 12:28:55,INFO,"Calculated Dynamic CoM: x=2.82070740237, y=-1.12260843869, z=25.911448938"
2024-10-17 12:28:55,INFO,"Projected CoM on the ground: x=2.82070740237, y=-1.12260843869"
2024-10-17 12:28:55,INFO,"Calculated Dynamic ZMP: x=-5.80352676434, y=2.09157816939"
