Seq,Time (secs),Time (nsecs),Orientation_X,Orientation_Y,Orientation_Z,Orientation_W,Angular_Vel_X,Angular_Vel_Y,Angular_Vel_Z,Linear_Acc_X,Linear_Acc_Y,Linear_Acc_Z
125854,1729159828,660555414,0.00795785054547975,0.06301945374970974,-0.0005025142495781712,0.9979804449703475,-0.004589636531043079,0.018928452218034332,-0.0009979995472246229,-1.2250830287538756,0.15408442272263803,9.660341040674473
125855,1729159828,668566999,0.0073185332551360185,0.0630881210099784,-0.00046264658634517287,0.99798101886587,-0.006159302410322099,0.01774242225275107,-0.0005987997283347737,-1.2311284012367005,0.14225004816483283,9.697556229629292
125856,1729159828,676555863,0.007326568948172508,0.06399372335276604,-0.00046983012465380547,0.9979232956588153,-0.007101101937889512,0.01788218439650518,-0.0003592798370008642,-1.2440930112010045,0.14185318807858718,9.65931204100023
125857,1729159828,684553696,0.007854302769933649,0.06589299192775042,-0.0005186868776452639,0.9977956476687652,-0.006814801531505897,0.01754035162129561,-0.0002155679022005185,-1.2779685752752903,0.15167071899949605,9.632534805166545
125858,1729159828,692529623,0.007322857131406131,0.06417433775372151,-0.00047092292403774755,0.9979117237355737,-0.004088880918903538,0.01648387183324581,-0.0001293407413203111,-1.2432272755362679,0.14128066626297886,9.625087589642895
125859,1729159828,700526533,0.007539248365375065,0.06406213954038834,-0.0004839883760972907,0.9979173150952161,-0.002453328551342123,0.016275674021877958,-7.760444479218665e-05,-1.248239873622542,0.14629938242380294,9.680953142164643
125860,1729159828,708522381,0.00812471106068697,0.06585575395434243,-0.0005362408841315557,0.9977959316348206,-0.0014719971308052736,0.015299375212133186,-4.656266687531199e-05,-1.2876392977086815,0.15816915826287553,9.710881171187458
125861,1729159828,716564584,0.01288014908306548,0.06459454423779161,-0.0008337982718943065,0.9978281171598402,-0.0008831982784831641,0.013010835680438195,-2.7937600125187192e-05,-1.2859004145627086,0.2553130061881941,9.887094718337474
125862,1729159828,724520810,0.0051587405484736035,0.06866987822104735,-0.0003550930631325992,0.997626036714147,-0.01968597173288132,0.012914782145807296,-0.0029965929903093334,-1.4627462680247347,0.10937391333205707,10.57437442987944
125863,1729159828,732558546,-0.0029560845113169626,0.06631907662454925,0.00019647821270273134,0.9977940684511715,-0.15782327412120561,0.007748869287484378,-0.04521834206331283,-1.4776346968499972,-0.06557790297732827,11.06646917208782
125864,1729159828,740554506,0.009421931126304671,0.05595421728059503,-0.0005280476040111093,0.9983887388928698,-0.3926770074961455,0.0016694911422564054,-0.10460659642407746,-1.1406056142525764,0.19145429825266555,10.142119691729254
125865,1729159828,748564173,0.026202396513899162,0.05488027473371851,-0.00144066276586295,0.9981480423027813,-0.5855234350194772,0.018880677266759172,-0.14194230928638435,-1.043733037740999,0.49650832358050556,9.44984340805513
125866,1729159828,756567021,0.045300810035780376,0.06068806051130381,-0.002757146578560612,0.9971244626746567,-0.7961601752395093,0.09944624908269604,-0.1605125264506102,-1.1900743136113963,0.8832873000565064,9.70030511954011
125867,1729159828,764558373,0.05713162065919802,0.06860152484369779,-0.003935059844186631,0.9959991586412087,-0.9851186584064473,0.18184079708922068,-0.17250603687206978,-1.3595213557449626,1.1232555514206226,9.75792654218305
125868,1729159828,772552717,0.05789870347890926,0.06374156219452334,-0.0037043391692171174,0.9962785911861112,-1.2249236965608334,0.2887456841905097,-0.20183802632097117,-1.3244806662301805,1.1942133516043265,10.239018005387953
125869,1729159828,780570743,0.06043657676298717,0.05319882214836323,-0.0032256439664022957,0.9967481631446332,-1.3939224330797249,0.3392665344844982,-0.21305186906838153,-1.1001885315740458,1.2418158552008771,10.202061457529647
125870,1729159828,788844985,0.07243509408400667,0.04508282855971722,-0.003277547518167105,0.9963483092756079,-1.4685032011189518,0.3495716117721757,-0.18104237912378285,-0.9277848645498963,1.4798700026224794,10.12362378980099
125871,1729159828,796553132,0.059518107993901705,0.054470706204750585,-0.0032526143067223403,0.9967346474797361,-1.433647620449088,0.338727055686301,-0.08095557347923765,-1.1260120735150938,1.2223919734973157,10.19842605366575
125872,1729159828,804738640,0.06316740818173314,0.06331930768533589,-0.004015843600497725,0.9959841448627726,-1.373570786392663,0.33179463197331416,-0.002598817449643173,-1.308634163054369,1.2951148935710455,10.168368900021717
125873,1729159828,812537082,0.049268366469859944,0.06821397432546884,-0.0033727720357117305,0.9964477438285015,-1.2732454866780412,0.30464791442657235,0.06612542930267712,-1.3281854343560586,0.9525639178320804,9.608287351975921
125874,1729159828,820531977,0.041881204335137194,0.08803087556017765,-0.003704509498093776,0.995230026818386,-1.1406829964007226,0.25898726965764707,0.12140774938231634,-1.6217137325374633,0.7642715843418262,9.063224618216802
125875,1729159828,828860346,0.03309808213274105,0.09788622520814524,-0.003257299775916623,0.9946417414686578,-1.0121911451661978,0.2183944908909689,0.1494688606925555,-1.6948800400595874,0.5670202858101738,8.508737820246488
125876,1729159828,836556057,0.007728994097603536,0.096624088078198,-0.0007503406203045039,0.9952906536496007,-0.8282478289985131,0.15913223859107542,0.14970361508167976,-1.6827555057252053,0.1333531480486043,8.584017704354924
125877,1729159828,844559025,-0.020101015675517926,0.09120695695890323,0.001841404260762055,0.9956273647311317,-0.6642448915536863,0.09292520278587306,0.1579325788829329,-1.7015775832202795,-0.3717739644423218,9.20187867192936
125878,1729159828,852561413,-0.037578514585393824,0.08761024143932243,0.003307343276318313,0.9954402856610494,-0.5036923801133336,-0.061735335291996894,0.2113986241703564,-1.6293131917778707,-0.6925673242220338,9.158398365266992
