Time,Denoised_Gyro_wavelet_x,Denoised_Gyro_wavelet_y,Denoised_Gyro_wavelet_z,Denoised_Gyro_UKF_x,Denoised_Gyro_UKF_y,Denoised_Gyro_UKF_z
1729156693.176431,0.003915329071797596,0.025944277821697857,0.015776509162870728,0.0057887973868021043,0.026827210602700487,0.01481852130286156
1729156693.194102,0.008947393395740048,0.025144593075914427,0.015851256419652911,0.0073392315097824644,0.025722436327247418,0.01506465841168584
1729156693.221398,0.014095082297415677,0.022323486890403192,0.015896104773722219,0.010071933507231326,0.023619435222411316,0.015232998818019712
1729156693.238385,0.018673610853538164,0.017438147718131215,0.015284478693970757,0.013244862332824361,0.020442483105556786,0.014932818016187586
1729156693.254621,0.021420727987211653,0.011739958815264823,0.013640432861733786,0.01594569304324818,0.016432080137500752,0.014073728927595815
1729156693.27173,0.021791928083029655,0.0070439752891588939,0.01180262523946754,0.017590599257039742,0.012610307878392176,0.01295848684572156
1729156693.289586,0.020524732925403345,0.0042263851734953362,0.010912785696838808,0.018187229645933656,0.0093622104181382889,0.012143345180498821
1729156693.306156,0.017848810554248418,0.0025358311040972015,0.010591727001992585,0.017465196788694095,0.0067618761227127714,0.01142305768578002
1729156693.332396,0.014327651854976317,0.0015214986624583209,0.010611936815815867,0.015881002222320233,0.0047523669932387907,0.011106200801630191
1729156693.357283,0.011576421543220011,0.00091289919747499242,0.0114754428270339,0.014131424586736384,0.003241611762630236,0.01126282570754652
1729156693.376374,0.010777063479090292,-0.00051648563517008375,0.0130577715874198,0.013040340013304929,0.0014648465525519093,0.011999176625411856
1729156693.392592,0.011787363855729569,-0.0024383416884122084,0.014858548966575399,0.012748249159800093,-0.00017932009646175998,0.013017148225575226
1729156693.410404,0.013670614266099231,-0.004017145381819515,0.016364705455530794,0.013216030618272322,-0.0018054310801169603,0.014159694930444094
1729156693.433254,0.015013409543052043,-0.0060286527515189779,0.017268399348904027,0.013668215258963704,-0.0036030090119197099,0.015082282238509576
